full_name;stars;age_years;releases_count;primary_language;forks_count;open_issues_count;created_at;updated_at
h2database/h2database;4619;10.95;24;Java;1280;422;2015-04-10T19:09:09Z;2026-03-22T02:39:23Z
Netflix/ribbon;4618;13.18;41;Java;1238;216;2013-01-15T01:08:04Z;2026-03-21T13:54:24Z
apache/rocketmq-externals;4615;9.02;0;Java;3038;116;2017-03-14T07:00:06Z;2026-03-21T19:47:28Z
objectbox/objectbox-java;4595;9.16;52;Java;305;147;2017-01-24T10:29:48Z;2026-03-20T08:51:44Z
nICEnnnnnnnLee/BilibiliDown;4590;7.16;81;Java;414;13;2019-01-23T06:56:46Z;2026-03-22T22:51:31Z
SplashCodes/JAViewer;4590;9.83;10;Java;693;44;2016-05-21T08:47:10Z;2026-03-21T02:10:57Z
hussien89aa/AndroidTutorialForBeginners;4584;9.48;0;Java;6042;39;2016-09-26T16:36:28Z;2026-03-20T16:32:49Z
puniverse/quasar;4565;12.99;18;Java;568;101;2013-03-27T14:51:24Z;2026-03-17T07:09:18Z
chentao0707/SimplifyReader;4559;10.6;0;Java;1593;41;2015-08-17T08:22:53Z;2026-03-10T05:47:46Z
zhanghai/Douya;4559;10.14;11;Java;1134;17;2016-02-01T13:44:19Z;2026-03-22T14:31:45Z
javagrowing/JGrowing;4551;7.07;0;Java;931;22;2019-02-26T01:55:08Z;2026-03-21T19:49:55Z
tiann/epic;4543;8.83;5;Java;818;18;2017-05-22T02:52:44Z;2026-03-20T18:34:39Z
go-lang-plugin-org/go-lang-idea-plugin;4540;15.56;21;Java;567;417;2010-08-29T08:20:01Z;2026-03-22T09:58:29Z
danielzeller/Depth-LIB-Android-;4540;9.9;0;Java;589;11;2016-04-27T09:37:28Z;2026-03-13T18:37:12Z
square/sqlbrite;4537;11.09;9;Java;413;5;2015-02-19T04:38:37Z;2026-03-10T07:43:20Z
jdamcd/android-crop;4537;12.02;6;Java;1071;131;2014-03-13T10:24:43Z;2026-03-13T18:53:15Z
phishman3579/java-algorithms-implementation;4530;12.33;0;Java;1853;135;2013-11-20T03:30:19Z;2026-03-20T20:48:45Z
ReChronoRain/HyperCeiler;4528;2.4;9;Java;344;171;2023-10-27T17:17:42Z;2026-03-22T19:08:30Z
alibaba/dexposed;4518;10.73;0;Java;1063;19;2015-06-30T02:59:16Z;2026-03-17T07:10:18Z
azkaban/azkaban;4515;13.42;48;Java;1572;802;2012-10-18T01:34:53Z;2026-03-20T17:46:58Z
jacoco/jacoco;4514;13.7;50;Java;1200;211;2012-07-08T21:45:13Z;2026-03-21T04:29:48Z
castorflex/SmoothProgressBar;4514;12.31;9;Java;1002;14;2013-11-27T20:32:16Z;2026-03-21T18:01:06Z
IoT-Technology/IoT-Technical-Guide;4513;6.97;0;Java;1116;13;2019-04-02T01:52:44Z;2026-03-22T04:59:40Z
201206030/novel-plus;4512;5.89;36;Java;1474;76;2020-05-02T07:15:43Z;2026-03-21T17:36:11Z
Flipboard/bottomsheet;4506;10.91;10;Java;594;55;2015-04-23T17:37:32Z;2026-03-13T18:47:28Z
HotBitmapGG/bilibili-android-client;4486;9.8;1;Java;1465;9;2016-06-01T04:36:01Z;2026-03-22T12:46:37Z
Freeyourgadget/Gadgetbridge;4484;11.21;0;Java;661;461;2015-01-05T23:19:03Z;2026-03-19T19:15:13Z
water8394/flink-recommandSystem-demo;4473;6.85;0;Java;1482;18;2019-05-15T07:55:35Z;2026-03-20T20:50:58Z
JakeWharton/NineOldAndroids;4472;14.29;0;Java;1523;42;2011-12-08T19:46:37Z;2026-02-24T09:30:11Z
Meituan-Dianping/Robust;4467;9.02;13;Java;808;163;2017-03-14T10:14:50Z;2026-03-20T03:28:04Z
flutter-webrtc/flutter-webrtc;4453;8.04;137;Java;1352;701;2018-03-07T02:26:03Z;2026-03-21T02:04:01Z
s4kibs4mi/java-developer-roadmap;4453;6.91;0;Java;562;0;2019-04-23T06:42:13Z;2026-03-22T19:40:14Z
apache/shiro;4440;16.56;17;Java;2305;6;2009-08-29T08:00:17Z;2026-03-22T09:55:30Z
janishar/android-mvp-architecture;4435;9.15;0;Java;1238;40;2017-01-27T08:39:06Z;2026-03-10T06:06:51Z
dreamhead/moco;4431;13.42;1;Java;1084;144;2012-10-18T09:09:51Z;2026-03-19T05:29:35Z
square/android-times-square;4428;13.14;0;Java;1182;23;2013-01-30T20:28:27Z;2026-03-22T07:27:39Z
Tencent/GT;4415;10.19;3;Java;1023;71;2016-01-13T10:29:55Z;2026-03-19T08:41:33Z
ThirtyDegreesRay/OpenHub;4395;8.7;31;Java;425;247;2017-07-11T13:29:51Z;2026-03-18T22:13:33Z
Snailclimb/guide-rpc-framework;4394;5.86;0;Java;2177;23;2020-05-10T13:24:42Z;2026-03-22T15:48:13Z
robinhood/ticker;4384;9.68;9;Java;462;18;2016-07-15T21:37:52Z;2026-03-13T18:42:13Z
crate/crate;4373;12.95;157;Java;590;307;2013-04-10T09:17:16Z;2026-03-22T14:48:38Z
pytorch/serve;4360;6.47;24;Java;888;445;2019-10-03T03:17:43Z;2026-03-19T15:48:13Z
Ashok-Varma/BottomNavigation;4359;10.01;16;Java;680;27;2016-03-19T19:19:30Z;2026-03-22T10:16:24Z
Querz/mcaselector;4359;7.92;74;Java;227;231;2018-04-22T22:23:26Z;2026-03-22T12:57:15Z
awangdev/leet-code;4358;10.91;0;Java;27;0;2015-04-25T19:14:09Z;2026-03-10T08:32:51Z
eirslett/frontend-maven-plugin;4350;12.56;0;Java;880;306;2013-08-30T14:44:38Z;2026-03-18T17:47:38Z
mywalkb/LSPosed_mod;4348;3.98;10;Java;264;54;2022-03-28T08:05:38Z;2026-03-21T03:28:05Z
iterate-ch/cyberduck;4332;9.17;0;Java;342;504;2017-01-20T14:16:34Z;2026-03-22T23:12:35Z
BoCloud/folib;4329;0.7;1;Java;251;3;2025-07-09T06:22:58Z;2026-03-21T17:13:31Z
AsamK/signal-cli;4324;10.86;110;Java;393;94;2015-05-11T10:49:42Z;2026-03-22T18:29:07Z
jitsi/jitsi;4319;12.91;7;Java;978;221;2013-04-24T17:37:20Z;2026-03-21T18:39:36Z
dragonwell-project/dragonwell8;4318;7.04;46;Java;501;170;2019-03-07T02:57:45Z;2026-03-19T07:16:42Z
jlegewie/zotfile;4318;14.23;33;Java;290;298;2011-12-30T14:47:42Z;2026-03-22T03:28:17Z
jeasonlzy/ImagePicker;4310;10.15;5;Java;1030;173;2016-01-27T17:05:03Z;2026-03-21T17:13:29Z
